title:Spriggys Wishlist v11_5_7Plus
description: This wishlist is created by Spriggy for DIM primarily based off pandapaxxy god rolls.
//GitHub: https://github.com/scspriggy/Spriggys-Wishlist
//GitHub Wishlist Maker: https://github.com/scspriggy/SpriggysWishlistMaker/releases
//Update Notes: Added BrayTech Werewolf and Horror Story rolls

//Key: [Tier]PvE[RollRating]
//	Tier
//		S - Must Have
//		A - Pretty Good
//		B - Okay/Decent
//		C - Not Great/Not a fan
//		F - Disregard
//		U - Unknown
//	Roll rating - 10 is a God Roll, I usually list all rolls higher than 3 or 4
//   Disclaimer: Roll points were assigned by me and may not align with your personal preference.

//Resources
//	pandapaxxy: https://docs.google.com/spreadsheets/d/1UlPqO4koKRcqMxl2VO4JzdgkKyY7LW07W0k91S_Yl8U

//Future Changes 
//	Add secondary rating rolls to wishlist notes
//	Add Trash Lists?: dimwishlist:item=-1234&#notes:I don't care for it.


///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//======================================================================Season 04====================================================================
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////


//Abide The Return - U
//=================PvE=================
//Blade
//2.5:3666208348:Jagged Edge
//1.5:2827049491:Honed Edge
//1.0:938542991:Tempered Edge
//Guard
//1.5:3625355092:Burst Guard
//1.0:269888150:Swordmaster's Guard
//0.5:52780822:Balanced Guard
//Perk 1
//3.0:1749209109:Relentless Strikes
//Perk 2
//3.0:3913600130:Whirlwind Blade
//MW Impact
//=================PvP=================
//Blade
//2.5:3666208348:Jagged Edge
//1.5:2827049491:Honed Edge
//1.0:938542991:Tempered Edge
//Guard
//1.5:3625355092:Burst Guard
//1.0:269888150:Swordmaster's Guard
//0.5:52780822:Balanced Guard
//Perk 1
//3.0:2590710093:Tireless Blade
//Perk 2
//3.0:354401740:Assassin's Blade
//1.5:1685431615:En Garde
//MW Impact
//=================Wishlist=================
dimwishlist:item=1644160541&perks=3666208348,3625355092,2590710093,354401740#notes:Upvp10 MW Impact
dimwishlist:item=1644160541&perks=3666208348,3625355092,1749209109,3913600130#notes:Upve10 MW Impact
dimwishlist:item=1644160541&perks=3666208348,269888150,2590710093,354401740#notes:Upvp9.5 MW Impact
dimwishlist:item=1644160541&perks=3666208348,269888150,1749209109,3913600130#notes:Upve9.5 MW Impact
dimwishlist:item=1644160541&perks=3666208348,52780822,2590710093,354401740#notes:Upvp9 MW Impact
dimwishlist:item=1644160541&perks=3666208348,52780822,1749209109,3913600130#notes:Upve9 MW Impact
dimwishlist:item=1644160541&perks=2827049491,3625355092,2590710093,354401740#notes:Upvp9 MW Impact
dimwishlist:item=1644160541&perks=2827049491,3625355092,1749209109,3913600130#notes:Upve9 MW Impact
dimwishlist:item=1644160541&perks=3666208348,3625355092,2590710093,1685431615#notes:Upvp8.5 MW Impact
dimwishlist:item=1644160541&perks=3666208348,2590710093,354401740#notes:Upvp8.5 MW Impact
dimwishlist:item=1644160541&perks=3666208348,1749209109,3913600130#notes:Upve8.5 MW Impact
dimwishlist:item=1644160541&perks=2827049491,269888150,2590710093,354401740#notes:Upvp8.5 MW Impact
dimwishlist:item=1644160541&perks=2827049491,269888150,1749209109,3913600130#notes:Upve8.5 MW Impact
dimwishlist:item=1644160541&perks=938542991,3625355092,2590710093,354401740#notes:Upvp8.5 MW Impact
dimwishlist:item=1644160541&perks=938542991,3625355092,1749209109,3913600130#notes:Upve8.5 MW Impact
dimwishlist:item=1644160541&perks=3666208348,269888150,2590710093,1685431615#notes:Upvp8 MW Impact
dimwishlist:item=1644160541&perks=2827049491,52780822,2590710093,354401740#notes:Upvp8 MW Impact
dimwishlist:item=1644160541&perks=2827049491,52780822,1749209109,3913600130#notes:Upve8 MW Impact
dimwishlist:item=1644160541&perks=938542991,269888150,2590710093,354401740#notes:Upvp8 MW Impact
dimwishlist:item=1644160541&perks=938542991,269888150,1749209109,3913600130#notes:Upve8 MW Impact
dimwishlist:item=1644160541&perks=3666208348,52780822,2590710093,1685431615#notes:Upvp7.5 MW Impact
dimwishlist:item=1644160541&perks=2827049491,3625355092,2590710093,1685431615#notes:Upvp7.5 MW Impact
dimwishlist:item=1644160541&perks=2827049491,2590710093,354401740#notes:Upvp7.5 MW Impact
dimwishlist:item=1644160541&perks=2827049491,1749209109,3913600130#notes:Upve7.5 MW Impact
dimwishlist:item=1644160541&perks=938542991,52780822,2590710093,354401740#notes:Upvp7.5 MW Impact
dimwishlist:item=1644160541&perks=938542991,52780822,1749209109,3913600130#notes:Upve7.5 MW Impact
dimwishlist:item=1644160541&perks=3625355092,2590710093,354401740#notes:Upvp7.5 MW Impact
dimwishlist:item=1644160541&perks=3625355092,1749209109,3913600130#notes:Upve7.5 MW Impact
dimwishlist:item=1644160541&perks=3666208348,3625355092,2590710093,3913600130#notes:Upve7, Upvp7 MW Impact
dimwishlist:item=1644160541&perks=3666208348,3625355092,2590710093#notes:Upvp7 MW Impact
dimwishlist:item=1644160541&perks=3666208348,3625355092,1749209109,354401740#notes:Upve7, Upvp7 MW Impact
dimwishlist:item=1644160541&perks=3666208348,3625355092,1749209109,1685431615#notes:Upve7 MW Impact
dimwishlist:item=1644160541&perks=3666208348,3625355092,1749209109#notes:Upve7 MW Impact
dimwishlist:item=1644160541&perks=3666208348,3625355092,354401740#notes:Upvp7 MW Impact
dimwishlist:item=1644160541&perks=3666208348,3625355092,3913600130#notes:Upve7 MW Impact
dimwishlist:item=1644160541&perks=3666208348,2590710093,1685431615#notes:Upvp7 MW Impact
dimwishlist:item=1644160541&perks=2827049491,269888150,2590710093,1685431615#notes:Upvp7 MW Impact
dimwishlist:item=1644160541&perks=938542991,3625355092,2590710093,1685431615#notes:Upvp7 MW Impact
dimwishlist:item=1644160541&perks=938542991,2590710093,354401740#notes:Upvp7 MW Impact
dimwishlist:item=1644160541&perks=938542991,1749209109,3913600130#notes:Upve7 MW Impact
dimwishlist:item=1644160541&perks=269888150,2590710093,354401740#notes:Upvp7 MW Impact
dimwishlist:item=1644160541&perks=269888150,1749209109,3913600130#notes:Upve7 MW Impact


//Age-Old Bond - U
//=================PvE=================
//Barrel
//2.0:1840239774:Fluted Barrel
//1.5:1392496348:Polygonal Rifling
//1.0:1482024992:Smallbore
//Magazine
//2.0:679225683:Light Mag
//1.0:2420895100:Extended Mag
//Perk 1
//3.0:3400784728:Triple Tap
//1.5:2387244414:Zen Moment
//Perk 2
//3.0:2848615171:Dragonfly
//2.0:1015611457:Kill Clip
//1.0:2213355989:High-Impact Reserves
//MW Reload
//=================PvP=================
//Barrel
//2.0:1840239774:Fluted Barrel
//1.5:1482024992:Smallbore
//1.0:3250034553:Hammer-Forged Rifling
//Magazine
//2.0:1561002382:High-Caliber Rounds
//1.0:1885400500:Ricochet Rounds
//Perk 1
//3.0:1890422124:Tap the Trigger
//2.0:1359896290:Dynamic Sway Reduction
//1.0:2387244414:Zen Moment
//Perk 2
//3.0:1015611457:Kill Clip
//MW Handling
//=================Wishlist=================
dimwishlist:item=601592879&perks=1840239774,1561002382,1890422124,1015611457#notes:Upvp10 MW Handling
dimwishlist:item=601592879&perks=1840239774,679225683,3400784728,2848615171#notes:Upve10 MW Reload
dimwishlist:item=601592879&perks=1482024992,1561002382,1890422124,1015611457#notes:Upvp9.5 MW Handling
dimwishlist:item=601592879&perks=1392496348,679225683,3400784728,2848615171#notes:Upve9.5 MW Reload
dimwishlist:item=601592879&perks=1840239774,1561002382,1359896290,1015611457#notes:Upvp9 MW Handling
dimwishlist:item=601592879&perks=1840239774,1885400500,1890422124,1015611457#notes:Upvp9 MW Handling
dimwishlist:item=601592879&perks=1840239774,679225683,3400784728,1015611457#notes:Upve9 MW Reload
dimwishlist:item=601592879&perks=1840239774,2420895100,3400784728,2848615171#notes:Upve9 MW Reload
dimwishlist:item=601592879&perks=1482024992,679225683,3400784728,2848615171#notes:Upve9 MW Reload
dimwishlist:item=601592879&perks=3250034553,1561002382,1890422124,1015611457#notes:Upvp9 MW Handling
dimwishlist:item=601592879&perks=1840239774,679225683,2387244414,2848615171#notes:Upve8.5 MW Reload
dimwishlist:item=601592879&perks=1482024992,1561002382,1359896290,1015611457#notes:Upvp8.5 MW Handling
dimwishlist:item=601592879&perks=1482024992,1885400500,1890422124,1015611457#notes:Upvp8.5 MW Handling
dimwishlist:item=601592879&perks=1392496348,679225683,3400784728,1015611457#notes:Upve8.5 MW Reload
dimwishlist:item=601592879&perks=1392496348,2420895100,3400784728,2848615171#notes:Upve8.5 MW Reload
dimwishlist:item=601592879&perks=1840239774,1561002382,2387244414,1015611457#notes:Upvp8 MW Handling
dimwishlist:item=601592879&perks=1840239774,1561002382,3400784728,2848615171#notes:Upve8 MW Reload
dimwishlist:item=601592879&perks=1840239774,1885400500,1359896290,1015611457#notes:Upvp8 MW Handling
dimwishlist:item=601592879&perks=1840239774,1885400500,3400784728,2848615171#notes:Upve8 MW Reload
dimwishlist:item=601592879&perks=1840239774,679225683,1890422124,1015611457#notes:Upvp8 MW Handling
dimwishlist:item=601592879&perks=1840239774,679225683,3400784728,2213355989#notes:Upve8 MW Reload
dimwishlist:item=601592879&perks=1840239774,2420895100,1890422124,1015611457#notes:Upvp8 MW Handling
dimwishlist:item=601592879&perks=1840239774,2420895100,3400784728,1015611457#notes:Upve8 MW Reload
dimwishlist:item=601592879&perks=1840239774,1890422124,1015611457#notes:Upvp8 MW Handling
